id,title,tipo,icon,anclajes,lastUpdated,plazas,geometry
"555,IES MIGUEL CATALÁN (2015),Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,15,2025-04-22T23:05:49,30,""[-0.9019966943311298,41.63405615676929]"""
"948,CEIP Tenerías,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,4,2025-04-22T23:05:49,8,""[-0.8709524428182466,41.653967821149934]"""
"1309,Sobrarbe,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8733176612366121,41.6611369211332]"""
"575,Ciclofactoria,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.8917414983109858,41.64243844221617]"""
"1316,Jardines Botorrita,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8658350511409033,41.654994139048604]"""
"295,Frente Valle de Zuriza,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,6,2025-04-22T23:05:49,12,""[-0.8758928974687992,41.66220246678485]"""
"1283,KFC,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8715273649294003,41.66574776504877]"""
"752,Delicias,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9045119361879971,41.64967701213922]"""
"300,Esquina con Hijar,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.9002926397196016,41.66033887144193]"""
"1231,Facultad de Veterinaria,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,6,""[-0.8610023988908778,41.63415759731883]"""
"1110,CEIP Julián Sanz Ibáñez,Cerrado,https://www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png,5,2025-04-22T23:05:49,10,""[-0.8650371355136393,41.64702359489959]"""
"1462,Compromiso de Caspe,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8623029018686423,41.64528692826734]"""
"1498,IES Francisco Grande Covián,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,5,2025-04-22T23:05:49,10,""[-0.8619298651397104,41.64289947529451]"""
"254,Universidad,Abierto,https://www.zaragoza.es/contenidos/iconos/aparcabici.png,9,2025-04-22T23:05:49,18,""[-0.8978364700308836,41.642332879535346]"""
